fiscal_year,available_from,code,net_income,equity,shares,EPS,BPS,ROE
2019,2020-03-30,007810,2124891038.0,390491857520.0,40000000.0,53.12227595,9762.296438,0.005441575789813155
2020,2021-03-31,007810,-11775816310.0,566342751796.0,40000000.0,-294.39540775,14158.5687949,-0.020792737741687772
2021,2022-03-31,007810,72195705436.0,651986441566.0,40000000.0,1804.8926359,16299.66103915,0.11073191225049685
2022,2023-03-31,007810,85750793581.0,751612622707.0,40000000.0,2143.769839525,18790.315567675,0.114089081250606
2023,2024-03-30,007810,-28266358679.0,709890315967.0,40000000.0,-706.658966975,17747.257899175,-0.03981792404154164
2024,2025-03-31,007810,-129014306648.0,681195506573.0,40000000.0,-3225.3576662,17029.887664325,-0.1893939484378766
2025,2026-03-31,007810,53794771145.0,790594031363.0,40000000.0,1344.869278625,19764.850784075,0.06804348250929333
2023,2024-03-30,138040,2125376583433.0,10097185065931.0,500000000.0,4250.753166866,20194.370131862,0.2104919905453899
2024,2025-03-31,138040,2333433638351.0,10930036028008.0,500000000.0,4666.867276702,21860.072056016,0.21348819275358497
2025,2026-03-31,138040,2350134643625.0,11261208003790.0,500000000.0,4700.26928725,22522.41600758,0.2086929433178087
2019,2020-03-30,006260,92824000000.0,4271328000000.0,100000000.0,928.24,42713.28,0.02173188291791218
2020,2021-03-31,006260,194725000000.0,4448497000000.0,100000000.0,1947.25,44484.97,0.043773211491431825
2021,2022-03-31,006260,352129000000.0,4710266000000.0,100000000.0,3521.29,47102.66,0.07475777376479376
2022,2023-03-31,006260,505486000000.0,5554663000000.0,100000000.0,5054.86,55546.63,0.09100210039744985
2023,2024-03-30,006260,570596000000.0,6750601000000.0,100000000.0,5705.96,67506.01,0.08452521486605415
2024,2025-03-31,006260,391515000000.0,6881153000000.0,100000000.0,3915.15,68811.53,0.05689671483834177
2025,2026-03-31,006260,485145000000.0,7679588000000.0,100000000.0,4851.45,76795.88,0.0631733108599055
2019,2020-03-30,241560,272115865000.0,3979066276000.0,400000000.0,680.2896625,9947.66569,0.06838686418501867
2020,2021-03-31,241560,247453634000.0,4073804491000.0,400000000.0,618.634085,10184.5112275,0.0607426386186877
2021,2022-03-31,241560,385888628000.0,4321265808000.0,400000000.0,964.72157,10803.16452,0.08929990543178361
2022,2023-03-31,241560,644056037000.0,5024387667000.0,400000000.0,1610.1400925,12560.9691675,0.12818597602054818
2023,2024-03-30,241560,705892351.0,4618281799.0,400000000.0,1.7647308775,11.5457044975,0.1528473968723276
2024,2025-03-31,241560,413029000.0,4690139000.0,400000000.0,1.0325725,11.7253475,0.08806327488375078
2025,2026-03-31,241560,282899000.0,5011583000.0,400000000.0,0.7072475,12.5289575,0.05644903017669267
2021,2022-03-31,395400,8775350689.0,776600299723.0,5000000000.0,1.7550701378,155.3200599446,0.011299700363404466
2022,2023-03-31,395400,3732637782.0,968719595549.0,5000000000.0,0.7465275564,193.7439191098,0.0038531663849378536
2023,2024-03-30,395400,4776022048.0,1321400311577.0,5000000000.0,0.9552044096,264.2800623154,0.0036143642514357725
2024,2025-03-31,395400,2335602882.0,1264816356167.0,5000000000.0,0.4671205764,252.9632712334,0.0018465944645734947
2025,2026-03-31,395400,33550467838.0,2020783201585.0,5000000000.0,6.7100935676,404.156640317,0.016602705234131356
2019,2020-03-30,008770,169427576031.0,919541111322.0,60000000.0,2823.79293385,15325.6851887,0.18425231231632314
2020,2021-03-31,008770,-283345631526.0,623955950923.0,60000000.0,-4722.4271921,10399.265848716666,-0.45411159410669133
2021,2022-03-31,008770,27059370238.0,576904674240.0,60000000.0,450.9895039666667,9615.077904,0.04690440456847979
2023,2024-03-30,008770,85978496138.0,608492780185.0,60000000.0,1432.9749356333334,10141.546336416666,0.14129747950642893
2024,2025-03-31,008770,-61501483516.0,1284345073338.0,60000000.0,-1025.0247252666666,21405.7512223,-0.047885482486539434
2025,2026-03-31,008770,-172848550007.0,1106221783430.0,60000000.0,-2880.8091667833332,18437.029723833333,-0.1562512622659248
2019,2020-03-30,103140,17625569038.0,1383814314984.0,60000000.0,293.75948396666666,23063.5719164,0.01273694660269777
2020,2021-03-31,103140,71907050762.0,1446401274686.0,60000000.0,1198.4508460333334,24106.687911433335,0.04971445477854017
2021,2022-03-31,103140,243387043769.0,1685635003844.0,60000000.0,4056.4507294833334,28093.916730733334,0.14438893545397963
2022,2023-03-31,103140,175261942564.0,1842240245511.0,60000000.0,2921.0323760666665,30704.00409185,0.09513522625024724
2023,2024-03-30,103140,156440326543.0,1965954520498.0,60000000.0,2607.3387757166665,32765.908674966668,0.07957474341948245
2024,2025-03-31,103140,236045982790.0,2199301948907.0,60000000.0,3934.099713166667,36655.03248178333,0.10732768318025142
2025,2026-03-31,103140,147164434318.0,2298131546597.0,60000000.0,2452.7405719666667,38302.19244328333,0.06403655810561254
2019,2020-03-30,009150,528048551036.0,5430096885508.0,180000000.0,2933.603061311111,30167.20491948889,0.09724477521667639
2020,2021-03-31,009150,623811177841.0,5910395939497.0,180000000.0,3465.617654672222,32835.532997205555,0.1055447357887311
2021,2022-03-31,009150,915432452695.0,6871125642811.0,180000000.0,5085.735848305556,38172.92023783889,0.13322889149215056
2022,2023-03-31,009150,993519182170.0,7693484679285.0,180000000.0,5519.5510120555555,42741.58155158333,0.1291377345359624
2023,2024-03-30,009150,450482125173.0,8030324975448.0,180000000.0,2502.678473183333,44612.916530266666,0.05609762077503822
2024,2025-03-31,009150,703215637082.0,9015854031770.0,180000000.0,3906.7535393444446,50088.077954277775,0.07799767327687582
2025,2026-03-31,009150,730989517218.0,9797343882863.0,180000000.0,4061.0528734333334,54429.688238127776,0.07461098905557541
2019,2020-03-30,018670,99427163104.0,1660821771919.0,20000000.0,4971.3581552,83041.08859595,0.059866245002988296
2020,2021-03-31,018670,265350074918.0,1898715509313.0,20000000.0,13267.5037459,94935.77546565,0.13975241346925632
2021,2022-03-31,018670,249265884920.0,2117363391889.0,20000000.0,12463.294246,105868.16959445,0.11772465977019567
2022,2023-03-31,018670,257077747972.0,2340895146247.0,20000000.0,12853.8873986,117044.75731235,0.10982027468601295
2023,2024-03-30,018670,316290608462.0,2588305767501.0,20000000.0,15814.5304231,129415.28837505,0.12219986233209898
2024,2025-03-31,018670,177768044603.0,2738336227747.0,20000000.0,8888.40223015,136916.81138735,0.06491826781595073
2025,2026-03-31,018670,233818515354.0,3144548995496.0,20000000.0,11690.9257677,157227.4497748,0.07435677284370601
2020,2021-03-31,353200,-8739612891.0,637780940184.0,200000000.0,-43.698064455,3188.90470092,-0.013703157840493977
2021,2022-03-31,353200,67453542860.0,681882884052.0,200000000.0,337.2677143,3409.41442026,0.09892247545379954
2022,2023-03-31,353200,183925142573.0,854989142336.0,200000000.0,919.625712865,4274.94571168,0.21511985762822672
2023,2024-03-30,353200,25377820749.0,868336080497.0,200000000.0,126.889103745,4341.680402485,0.02922580475347146
2024,2025-03-31,353200,23762727122.0,875513939249.0,200000000.0,118.81363561,4377.569696245,0.027141460640116407
2025,2026-03-31,353200,47605327690.0,897305160164.0,200000000.0,238.02663845,4486.52580082,0.05305366535649834
2023,2024-03-30,005830,1742379224712.0,10303747263209.0,200000000.0,8711.89612356,51518.736316045,0.16910151037316432
2024,2025-03-31,005830,1853216681744.0,9391221934664.0,200000000.0,9266.08340872,46956.10967332,0.1973349894866801
2025,2026-03-31,005830,1790581000000.0,10935289000000.0,200000000.0,8952.905,54676.445,0.1637433633441238
2019,2020-03-30,161890,33637990905.0,847872906935.0,50000000.0,672.7598181,16957.4581387,0.0396733881102522
2020,2021-03-31,161890,144688975190.0,999242017494.0,50000000.0,2893.7795038,19984.84034988,0.1447987300943025
2021,2022-03-31,161890,43534832905.0,1359559768916.0,50000000.0,870.6966581,27191.19537832,0.03202127181191237
2022,2023-03-31,161890,-4101004683.0,1469473099590.0,50000000.0,-82.02009366,29389.4619918,-0.0027907994260964884
2023,2024-03-30,161890,25138828951.0,1418590136562.0,50000000.0,502.77657902,28371.80273124,0.017720995164907025
2024,2025-03-31,161890,125324615188.0,1505731966547.0,50000000.0,2506.49230376,30114.63933094,0.08323168928624065
2025,2026-03-31,161890,168220449431.0,1667349364857.0,50000000.0,3364.40898862,33346.98729714,0.10089094282014939
2019,2020-03-30,011780,294696728256.0,2629571508396.0,43790532.0,6729.69052433526,60048.85961184486,0.11207024692618482
2020,2021-03-31,011780,582982310651.0,3149233632984.0,43790532.0,13312.976207984868,71915.85690221805,0.18511878716937413
2021,2022-03-31,011780,1965576708770.0,5082908385354.0,43790532.0,44885.88329481816,116073.22754959908,0.38670315491690826
2022,2023-03-31,011780,1025704605758.0,5653415177596.0,43790532.0,23422.976586765377,129101.31298692603,0.18143097110977793
2024,2025-03-31,011780,348602013402.0,6042223071506.0,43790532.0,7960.670891187164,137980.12482483656,0.0576943302616453
2025,2026-03-31,011780,290934780649.0,6246537410457.0,43790532.0,6643.782739360188,142645.84432216993,0.04657536832517186
2019,2020-03-30,036460,58269151996.0,8146520783003.0,200000000.0,291.34575998,40732.603915015,0.007152642649310301
2020,2021-03-31,036460,-160683052530.0,7735155421970.0,200000000.0,-803.41526265,38675.77710985,-0.02077308648170343
2021,2022-03-31,036460,964522139121.0,9119335805807.0,200000000.0,4822.610695605,45596.679029035,0.10576670929332514
2022,2023-03-31,036460,1497008012582.0,10410740312040.0,200000000.0,7485.04006291,52053.7015602,0.1437945782636335
2023,2024-03-30,036460,-747428633334.0,9826038102998.0,200000000.0,-3737.14316667,49130.19051499,-0.07606612405725903
2024,2025-03-31,036460,1148985000000.0,10826356000000.0,200000000.0,5744.925,54131.78,0.10612850713573431
2025,2026-03-31,036460,132251000000.0,10798925000000.0,200000000.0,661.255,53994.625,0.012246681961398935
2019,2020-03-30,000100,36612325771.0,1649991371524.0,14000000.0,2615.1661265,117856.52653742857,0.022189404382874648
2020,2021-03-31,000100,190401937316.0,1846502193853.0,145000000.0,1313.116809075862,12734.49788864138,0.1031149261288979
