code,name,shares,marcap
005930,삼성전자,5846278608,1704190214232000
000660,SK하이닉스,712702365,1597165999965000
402340,SK스퀘어,131958386,185863386681000
005935,삼성전자우,802371203,155980961863200
009150,삼성전기,74693696,121227868608000
005380,현대차,204757766,95417118956000
373220,LG에너지솔루션,234000000,77337000000000
032830,삼성생명,200000000,68000000000000
105560,KB금융,354687734,65971918524000
207940,삼성바이오로직스,46290951,64668458547000
028260,삼성물산,162167581,63975110704500
000270,기아,390412998,58132495402200
329180,HD현대중공업,104961225,54474875775000
055550,신한지주,474654361,52496772326600
034020,두산에너빌리티,640561146,50924611107000
012450,한화에어로스페이스,51563401,49707118564000
034730,SK,72502703,48214297495000
012330,현대모비스,90732583,44912628585000
068270,셀트리온,232553706,41394559668000
086790,하나금융지주,274367748,35722680789600
006400,삼성SDI,80585530,35578511495000
267260,HD현대일렉트릭,36047135,30856347560000
010120,LS ELECTRIC,150000000,30600000000000
035420,NAVER,156944242,30243155433400
066570,LG전자,162884638,29970773392000
000810,삼성화재,44647473,29422684707000
298040,효성중공업,9324548,27535390244000
042660,한화오션,306413394,25585518399000
005490,POSCO홀딩스,79241527,25238426349500
009540,HD한국조선해양,70773116,24558271252000
006800,미래에셋증권,559566880,23949462464000
015760,한국전력,641964077,23816867256700
316140,우리금융지주,728089682,23408083276300
000150,두산,16193835,22800919680000
010130,고려아연,20872969,22542806520000
042700,한미반도체,95312200,21540557200000
010140,삼성중공업,880000000,19800000000000
064350,현대로템,109142293,19787497720900
138040,메리츠금융지주,167347273,19362079486100
051910,LG화학,70592343,19130524953000
017670,SK텔레콤,214790053,19116314717000
011200,HMM,943237970,18713841324800
033780,KT&G,103810456,18592452669600
096770,SK이노베이션,169052788,17784353297600
011070,LG이노텍,23667107,17537326287000
024110,기업은행,797425869,17184527476950
267250,HD현대,78993085,16233078967500
079550,LIG디펜스앤에어로스페이스,22000000,16214000000000
003550,LG,151192004,16071710025200
035720,카카오,442981070,15858722306000
018260,삼성에스디에스,77377800,15552937800000
010950,S-Oil,112582792,14860928544000
086280,현대글로비스,75000000,14602500000000
047810,한국항공우주,97475107,14562780985800
278470,에이피알,37438155,14245217977500
030200,KT,252021685,13987203517500
003670,포스코퓨처엠,88946220,13759980234000
071050,한국금융지주,55725992,13429964072000
272210,한화시스템,188919389,13337708863400
307950,현대오토에버,27423982,12642455702000
000720,현대건설,111355765,12026422620000
005940,NH투자증권,356344369,11331750934200
259960,크래프톤,46137833,11280700168500
323410,카카오뱅크,477120437,10782921876200
006260,LS,31200000,10467600000000
016360,삼성증권,89300000,10358800000000
005830,DB손해보험,65500349,10322855002400
003490,대한항공,368220661,10052424045300
352820,하이브,43102249,9633352651500
0126Z0,삼성에피스홀딩스,24883049,9604856914000
443060,HD현대마린솔루션,44833460,8989108730000
039490,키움증권,26228316,8891399124000
180640,한진칼,66762279,8866030651200
047050,포스코인터내셔널,175922788,8796139400000
028050,삼성E&A,196000000,8751400000000
161390,한국타이어앤테크놀로지,123875069,8671254830000
003230,삼양식품,7533015,8421910770000
007660,이수페타시스,73409219,7656581541700
078930,GS,92895495,7580272392000
047040,대우건설,410907638,7338810414680
090430,아모레퍼시픽,58492759,7299896323200
005387,현대차2우B,34963930,7185087615000
064400,LG씨엔에스,96885948,7062985609200
000880,한화,70507919,6775811015900
326030,SK바이오팜,78313250,6507831075000
021240,코웨이,70767426,6425682280800
032640,LG유플러스,424427732,6351561009380
267270,HD건설기계,47921897,6201093471800
004170,신세계,9445181,6044915840000
241560,두산밥캣,95856065,6029346488500
001440,대한전선,195992596,6016972697200
353200,대덕전자,49416925,5915205922500
062040,산일전기,30615850,5878243200000
138930,BNK금융지주,310327033,5697604325880
029780,삼성카드,115858891,5688671548100
034220,LG디스플레이,500000000,5595000000000
271560,오리온,39528788,5569606229200
009830,한화솔루션,171892536,5534939659200
000100,유한양행,79647601,5503649229100
036570,NC,21544022,5472181588000
377300,카카오페이,135270125,5343169937500
000990,DB하이텍,43504588,5290157900800
175330,JB금융지주,188253584,5026370692800
128940,한미약품,12810991,5021908472000
454910,두산로보틱스,64819980,4874462496000
088980,맥쿼리인프라,478921993,4861058228950
005385,현대차우,23340960,4773226320000
011790,SKC,49598298,4761436608000
023530,롯데쇼핑,28288755,4463965539000
000500,가온전선,16543115,4292938342500
001040,CJ,29176998,4172310714000
066970,엘앤에프,40682272,4161796425600
088350,한화생명,868530000,4125517500000
052690,한전기술,38220000,4005456000000
002380,KCC,8592896,3995696640000
111770,영원무역,44311468,3832941982000
082740,한화엔진,83447142,3823965282150
018880,한온시스템,1026262552,3720201751000
051900,LG생활건강,14975523,3698954181000
010060,OCI홀딩스,18670232,3679902727200
004020,현대제철,133445785,3649742219750
069960,현대백화점,21564912,3620748724800
012510,더존비즈온,29123883,3494865960000
001450,현대해상,85248250,3252220737500
103590,일진전기,47685390,3199689669000
035250,강원랜드,213940500,3168458805000
251270,넷마블,81934571,3146287526400
022100,포스코DX,152034729,3124313680950
036460,한국가스공사,92313000,3092485500000
031210,서울보증보험,69821598,3068659232100
009420,한올바이오파마,52240638,3035181067800
336260,두산퓨얼셀,65493726,2999612650800
383220,F&F,38307075,2980290435000
011780,금호석유화학,25157325,2971080082500
139130,iM금융지주,160624583,2936217377240
097950,CJ제일제당,15054186,2928039177000
302440,SK바이오사이언스,78456553,2902892461000
028670,팬오션,534569512,2838564108720
014680,한솔케미칼,11012899,2769744098500
012750,에스원,37999178,2762540240600
006360,GS건설,85581490,2747165829000
017800,현대엘리베이터,39092385,2744285427000
450080,에코프로머티,70813870,2701549140500
011170,롯데케미칼,42775419,2673463687500
005850,에스엘,46448520,2638275936000
004800,효성,16740407,2634940061800
026960,동서,99700000,2587215000000
001720,신영증권,16440000,2572860000000
009970,영원무역홀딩스,12953817,2558378857500
483650,달바글로벌,12484665,2509417665000
375500,DL이앤씨,38693623,2503477408100
000240,한국앤컴퍼니,94935240,2482556526000
161890,한국콜마,23605077,2466730546500
085620,미래에셋생명,135180000,2448109800000
081660,미스토홀딩스,53091840,2442224640000
003690,코리안리,176721031,2433448596870
004990,롯데지주,99663776,2381964246400
204320,HL만도,46957120,2366638848000
489790,한화비전,50488390,2337612457000
139480,이마트,27595819,2268376321800
073240,금호타이어,287260287,2240630238600
279570,케이뱅크,405695151,2239437233520
008930,한미사이언스,68391550,2232984107500
030000,제일기획,115041225,2192685748500
004370,농심,6082642,2186709799000
007070,GS리테일,83607415,2182153531500
005440,현대지에프홀딩스,155904301,2171746912930
282330,BGF리테일,17283906,2150117906400
007340,DN오토모티브,58510865,2135646572500
462870,시프트업,58654340,2082229070000
051600,한전KPS,45000000,2081250000000
018670,SK가스,9257244,2041222302000
192820,코스맥스,11349509,2025887356500
071970,HD현대마린엔진,33921495,2021721102000
281820,케이씨텍,19798661,2005604359300
008770,호텔신라,39248121,1982030110500
457190,이수스페셜티케미컬,30218872,1930985920800
002790,아모레퍼시픽홀딩스,76458180,1884694137000
000155,두산우,3996462,1870344216000
439260,대한조선,38088730,1860634460500
020150,롯데에너지머티리얼즈,52365463,1848500843900
103140,풍산,28024278,1815973214400
00680K,미래에셋증권2우B,136500000,1803165000000
007810,코리아써키트,23982620,1798696500000
001740,SK네트웍스,200593889,1745166834300
395400,SK리츠,301017620,1736871667400
120110,코오롱인더,29946032,1712913030400
000120,CJ대한통운,22812344,1708644565600
112610,씨에스윈드,42171403,1699507540900
011210,현대위아,27195083,1694253670900
009155,삼성전기우,2906984,1683143736000
023590,다우기술,43287312,1627602931200
001800,오리온홀딩스,60156652,1627237436600
097230,HJ중공업,90295344,1590101007840
069620,대웅제약,11586575,1535221187500
006040,동원산업,44140819,1531686419300
475150,SK이터닉스,34067004,1510871627400
020560,아시아나항공,205990711,1501672283190
093370,후성,107255330,1477978447400
006280,녹십자,11686538,1452636673400
