date,005930,000660,402340,005935,009150,005380,373220,032830,105560,207940,028260,000270,329180,055550,034020,012450,034730,012330,068270,086790,006400,267260,010120,035420,066570,000810,298040,042660,005490,009540,006800,015760,316140,000150,010130,042700,010140,064350,138040,017670,051910,011200,033780,011070,096770,024110,079550,267250,035720,018260,003550,010950,086280,047810,278470,030200,272210,003670,071050,307950,000720,005940,259960,323410,006260,005830,016360,003490,0126Z0,352820,180640,161390,443060,039490,047050,028050,003230,007660,078930,090430,047040,005387,064400,000880,326030,021240,032640,267270,241560,353200,004170,001440,062040,029780,138930,034220,009830,000100,271560,036570,000990,377300,128940,175330,088980,454910,005385,011790,023530,000500,001040,066970,088350,052690,002380,082740,111770,018880,010060,051900,069960,004020,012510,001450,103590,035250,336260,251270,022100,036460,031210,009420,383220,011780,302440,097950,139130,028670,012750,014680,006360,017800,450080,011170,004800,005850,026960,001720,161890,085620,483650,009970,375500,003690,000240,081660,004990,204320,489790,008930,139480,073240,279570,005440,007070,004370,030000,282330,007340,071970,051600,462870,018670,008770,192820,281820,457190,020150,002790,000155,439260,103140,00680K,007810,001740,395400,000120,011210,112610,120110,009155,001800,023590,097230,069620,006040,020560,093370,475150,006280
2019-01-02,7847664,1934295,,944879,1052757,565493,,221030,636199,99614,246954,478590,,868545,1056964,138142,74745,215479,1344343,567892,352948,61738,388370,356120,568844,49598,36232,271568,175260,143838,2213514,1503315,,67723,33226,363622,2507004,1621370,29496,751407,227694,2548278,450182,155940,483738,1546090,274387,39972,173462,99070,135878,665046,107869,656857,,696916,,1292428,215914,,850295,1139552,,,56142,105712,192361,349580,,,885973,189544,,86300,175086,1193530,27202,2766744,271228,404377,1688983,71224,,118196,,140702,1244108,168989,123805,,72595,17705,,69225,1474391,1205161,1043914,346759,172930,83710,225448,,40626,368130,601150,,33150,71269,96043,1202,52125,337190,714353,53344,12004,279023,73902,678868,108995,26387,77817,265680,47715.0,215118,38114,566331,,271562,584060,243327,,695239,,103963,,36351,728513,702083,39820,19981,344776,972650,,117418,465868,57048,115040,670,123832,142686,,585,,127511,43918,317655,161549,246212,,36311,68572,329671,,182295,123225,13641,222673,17056,3809,249647,156843,,11507,666916,89037,32460,,401371,199818,8796,,80229,351925,21391,902071,,35501,72079,27335,142360,7542,34394,79442,488680,54582,298,51538,822655,,34301
2019-01-03,12471493,3337621,,743231,2242797,608591,,159465,1275976,87801,260189,924910,,885359,849267,621625,114272,236692,1224149,767093,494726,106998,720665,525020,604561,72799,29102,485440,235503,334941,1366094,2177434,,78503,50422,662236,3254870,2698290,56319,1683570,232935,1180558,426415,375530,282544,1236205,380297,36395,293989,89678,117519,326750,244657,1581209,,799233,,1176180,191026,,1107348,918010,,,129931,106281,304555,464995,,,790793,184577,,81980,202013,766336,84919,4107084,178992,250816,1143571,34315,,189257,,129808,2818349,336643,181488,,82097,30878,,112990,1678947,1274010,1750765,284397,154677,86434,259171,,37696,332741,371636,,51796,71440,48119,1911,55472,241629,1041000,74269,26968,427649,159117,725678,907815,24144,81189,154048,51979.0,202815,72235,376071,,236841,467696,159210,,1318177,,111908,,22538,693382,715447,43258,27278,397105,1421496,,102289,585945,48606,145773,1778,91594,185676,,3040,,270795,48811,488654,119345,320378,,48726,83959,282793,,177594,130046,43424,172450,29942,12366,286786,128520,,17529,499812,38979,50390,,620309,130354,8063,,67998,309088,21446,4795141,,38021,69893,26925,136087,15222,47428,120097,839452,54516,888,52080,1276531,,41833
2019-01-04,14108958,3388087,,1153869,3078738,1326978,,193345,784105,79303,267026,1573507,,827704,558098,573130,93698,352671,1456094,871810,484430,126905,534980,520785,602100,69272,51674,426228,201206,369927,1691086,2389249,,74133,65433,1062320,4062230,1072464,57642,1299100,146988,650604,371953,133884,312588,1301930,242815,43729,251728,77416,176280,392089,413578,842557,,710749,,974783,141797,,670008,990591,,,102351,111960,251897,424001,,,684657,259219,,85187,236153,728974,47825,1807375,166264,553488,895094,90094,,148487,,123460,2396269,240158,162639,,132087,43287,,102668,986841,1340292,1018308,624731,129564,85521,211653,,39221,284005,358069,,133978,67203,53967,2119,65183,287551,937201,57646,15735,256808,125940,1284226,341036,32483,86522,238765,70517.0,205921,41733,730220,,218348,332048,174955,,789924,,110424,,51429,675803,666644,55684,35112,484998,661062,,274109,279702,143248,142643,3489,73843,128251,,1151,,320006,50386,698373,83594,360790,,56033,138010,355615,,386474,195001,61819,208435,34079,9890,137724,348167,,12862,960920,81870,60837,,506921,248594,3135,,65979,81089,59315,2735244,,34069,180810,34196,132012,14556,58393,38835,1032743,28353,393,79137,1654943,,38323
2019-01-07,12748997,2273750,,1500454,1487041,428416,,152145,957133,74116,180052,773118,,743750,570171,451466,70358,144186,1378286,648441,561689,125878,597220,502619,660173,65923,30787,602442,298686,247943,2610844,2183490,,46079,43992,385088,2735504,1105569,53047,696178,322157,907623,255852,226083,422423,1968026,164995,42203,378153,79470,177297,515176,120522,1015877,,362103,,828324,261447,,760357,1271676,,,116820,169504,182847,619120,,,379963,263525,,95092,487843,1127791,110011,1250580,118533,353003,1135931,48956,,175355,,125411,1531405,225195,176630,,73638,61281,,96405,1052364,1415040,868486,3642003,112509,99745,568687,,37645,259446,406919,,50093,135677,46250,2287,56921,198224,786011,97056,31822,300507,79409,823641,324156,32983,92319,401647,116010.0,280046,146534,415350,,154726,276533,210998,,539395,,349107,,21483,339100,893089,50134,28525,631397,597766,,236194,185783,72682,128049,1000,50566,299147,,2523,,260809,50837,388470,95469,430204,,28506,87650,341514,,255072,193384,27041,170541,37459,12866,210962,243576,,14562,840813,65982,57397,,569644,167368,2595,,156434,304018,19967,2298026,,39074,74049,21794,161578,16091,45211,81545,865805,29925,891,84793,1435838,,53197
2019-01-08,12756554,3062192,,1228454,1372173,582117,,149000,868450,63372,150285,1013744,,750695,786894,194118,52414,112903,831899,699641,316701,127535,266070,376127,1338626,59184,20623,720275,106754,247213,1344846,2298290,,57461,23747,693048,2829941,2009963,71466,585575,191633,1261887,274665,74154,257282,972156,188811,20938,450462,53572,119131,400438,161036,472666,,308077,,663291,99439,,1104510,733212,,,47473,125933,152837,515749,,,504482,761130,,34702,173721,848591,347192,3884358,112218,214280,739703,39887,,132034,,87817,1203134,267648,117123,,55662,51655,,62845,994615,2772592,703292,1061393,79897,59862,210492,,15768,338163,746252,,33228,74516,42532,3771,41468,120823,651005,68898,11861,417583,127837,1055631,177615,21249,62737,198981,89086.0,313905,94264,266288,,126350,364052,138438,,292574,,100904,,20033,384282,704889,29562,20537,263244,1025885,,112452,242551,55953,176868,1588,103550,402850,,176,,214134,45472,277356,67374,1139022,,30459,101244,254785,,156491,131635,31292,192903,31223,2511,319931,201710,,20088,828579,56934,75858,,234486,155449,1544,,34490,219899,16163,1392857,,35181,73195,15588,134324,8201,47953,52855,8243770,82656,646,56445,639150,,33767
2019-01-09,17452708,4928656,,1829977,1995921,846392,,145701,885435,58912,381972,840360,,919102,571413,239222,89560,277391,1087464,894456,464811,193843,657640,381372,950285,86849,61840,573228,377323,199575,1845093,2794012,,54295,39717,446754,4022451,982343,87728,1468983,189562,721269,266888,105099,223993,800438,123208,31317,357096,130169,213079,387434,117121,429521,,593734,,510061,178811,,653637,1381182,,,214645,250893,226024,574199,,,978501,498142,,88085,536000,995910,157035,1601121,118926,375595,1242213,62867,,151559,,106746,2251193,524037,249939,,63764,166146,,53298,1497674,1980448,1052029,648445,95443,62707,317809,,20701,210863,642705,,98016,114856,44400,6834,44935,213304,730573,42760,43253,158457,209262,1983188,304073,31026,69355,742736,58725.0,476992,211075,413363,,150310,256626,127776,,623991,,123137,,23993,403561,1836609,45844,43603,318185,395349,,142130,176798,45238,137391,3114,102147,618680,,1228,,377418,75966,717774,114163,1300472,,39389,70444,485205,,328581,227094,19026,241175,30445,13754,183266,270951,,15240,692688,111066,196700,,329253,141775,2593,,212079,216721,39939,1463454,,37579,106772,31588,147198,14638,170873,89217,5479906,116574,1247,99275,1598140,,44959
2019-01-10,14731699,6034432,,2272279,1152720,648837,,311628,1195029,58986,354376,1015367,,1637707,633674,270295,86167,239761,1151216,1346208,283216,142988,678940,293112,1065551,90963,32050,613371,281908,329292,1812427,2085286,,62162,42187,240606,3622315,1383820,47546,1057603,160808,1673341,240083,165084,232510,963101,164667,30009,291573,110420,358356,407369,149206,693651,,1146647,,669408,203455,,684568,454681,,,89187,147726,237820,320843,,,437006,570552,,28522,271881,811693,132460,1049086,202894,207021,845442,61177,,211560,,170557,4485847,238253,461576,,66739,60856,,113568,1442108,3309951,966182,519023,143620,95616,265948,,27951,358440,615179,,56598,79386,65432,2857,154961,175156,1440741,41311,25377,181280,127723,1172807,359669,32433,62227,336973,48542.0,262015,91293,353747,,316851,241945,202438,,248619,,153269,,21544,600945,840077,47980,21882,482188,615488,,130961,165942,79213,127434,866,78156,222405,,128,,213754,95855,703322,100367,610011,,45869,70362,410983,,281192,998660,19916,287336,69556,11443,155106,159412,,14014,610900,67120,72841,,284479,98351,1509,,91974,181167,14460,1462752,,32185,83549,13458,127565,9106,123491,63275,11969886,37136,210,59717,903252,,28632
2019-01-11,11661063,2890639,,1253321,1321347,440529,,211882,1077396,73010,185721,916827,,1018057,438903,340739,92618,138285,602312,813522,251817,42069,434265,322925,601380,72422,46004,330194,208800,199943,1193641,1256608,,43877,23886,155974,2890237,1064494,63914,1292052,133523,908069,225079,224683,157532,974342,94533,35672,180561,158863,214367,217899,94522,436613,,498075,,453841,126905,,767126,663651,,,83178,87923,194570,397027,,,417998,330651,,54144,244821,906031,101486,2390626,77631,248033,981577,29631,,178115,,122388,4191041,163886,456790,,58913,52889,,75026,1088070,3096308,2970255,360020,84643,104444,220808,,35811,166805,587460,,34629,129253,44804,2226,29099,301311,727019,49022,12952,528373,198573,2195688,201183,34231,43534,240287,66570.0,220439,154831,376372,,179824,293884,256739,,371420,,138227,,36435,525578,694569,86997,28294,584277,819900,,134826,203222,66930,164703,280,79830,86622,,3654,,303220,101004,522268,163510,174309,,54185,69020,442137,,368868,382807,39722,426491,25072,23500,99325,124860,,15535,433257,35971,78547,,300713,108450,731,,78202,360566,62150,2134494,,73512,76232,13790,174830,7621,75911,71303,4674668,25127,549,84621,704395,,44493
2019-01-14,11984996,3282892,,1099766,1506639,297709,,127048,1189035,125527,232956,728776,,967288,1382520,212288,77195,130372,913566,778230,196546,42061,314390,525411,401456,65622,29340,301221,181225,137851,1180093,1082232,,49295,43935,132900,1634104,2351486,47516,769745,116345,1547102,192629,196393,157266,1053857,138085,31651,243305,99261,169610,259674,71731,384314,,360664,,310388,120902,,956947,527426,,,88560,186646,188054,375803,,,266423,270601,,47401,172913,435631,59470,1304809,126704,334776,1108378,56475,,243758,,135830,1937468,191239,165887,,123417,27371,,84471,852186,1406419,1306894,292718,97108,64728,160660,,26102,260195,919575,,58262,104026,42830,8821,31287,148462,707817,534257,18192,356764,103354,1071010,158044,39695,70377,271345,107632.0,296838,135501,358698,,134281,604596,172629,,252261,,86926,,53863,612355,763790,39750,23675,484320,1071630,,123314,174528,64511,168139,4320,121916,92438,,683,,310952,54456,446410,92800,258012,,49303,68565,327783,,272312,524469,29570,299690,34536,33950,118543,281541,,18979,1852458,77541,43121,,220569,194480,2199,,102476,261222,25719,1067813,,40172,58026,17364,56068,9498,76851,66745,3502880,19164,482,122692,849491,,41757
2019-01-15,11492756,2413868,,1502321,1186102,828015,,225666,1317274,85263,281229,1033143,,1276884,737142,214388,82153,211778,1284365,1276452,316376,73221,416685,335999,560337,57272,31602,479210,204181,206859,4316791,1247907,,65207,48089,295574,3201954,1728082,72754,603264,162948,1283681,284577,232747,165865,1184853,161542,37994,381581,87521,204124,324777,202983,679722,,381458,,420514,322675,,587917,1425182,,,110636,114495,430717,532772,,,797096,389931,,144507,194170,715185,74849,1386807,109959,187333,825054,76809,,290859,,105963,1632799,158981,170102,,106953,56324,,63914,931314,1331890,1143857,1356382,70524,88024,146221,,27187,160521,1042145,,64676,88266,57893,4435,58461,147582,727272,280991,23324,324223,122256,2056513,113230,44161,70488,456718,34388.0,250359,102815,380420,,111048,417879,151791,,527666,,101049,,26389,841984,688342,41395,36308,341735,588040,,109010,297937,101253,137208,2298,105942,436889,,791,,474344,134424,465108,80631,930104,,55903,131644,421456,,266856,216943,23675,280391,19065,45343,737315,295495,,10707,761717,63884,76706,,413733,132868,1585,,79267,362720,61975,1235010,,66344,127733,20852,92498,8150,83442,100338,9374423,33017,524,79588,1057336,,43018
2019-01-16,8491595,2478497,,1388226,1171185,397335,,174318,1091289,75179,221358,607592,,1618419,838132,169709,79266,131657,1741080,1091823,285119,114850,664235,272719,565004,61328,50106,390316,315989,122625,4051621,1200279,,57248,50460,261060,2128621,1413622,43363,540124,338647,4218932,238071,249872,155376,883356,104338,20553,217209,118055,190700,244733,118309,575846,,414568,,346939,201022,,618609,1198671,,,137361,147425,484528,997933,,,616734,276710,,217660,388206,685345,49639,1207603,105550,259797,880142,57956,,185780,,122414,1449784,277727,219080,,64034,101063,,70096,1075239,1753090,1496962,496334,70580,116641,316810,,46213,235064,641266,,27123,85386,156389,10196,55593,83282,899527,180906,24581,278603,154877,1103305,106093,34417,78926,305473,35715.0,177184,113508,302918,,147350,421669,259256,,309630,,136128,,27367,721109,687789,41164,53548,676712,536136,,197935,149364,57043,134708,5251,96051,443072,,6182,,356318,74199,303676,98641,403685,,51884,63227,441231,,405686,213195,15418,189662,25157,24259,245082,206477,,9080,767972,59034,62547,,199416,106672,2032,,99385,384079,31662,1223598,,147165,91111,53183,77232,5267,61012,132967,25106249,28129,306,96669,695866,,25521
